Amazonas,84,-313
Antioquia,-185,112
Arauca,77,142
Atlántico,-174,344
Bolívar,-118,224
Boyacá,-40,67
Caldas,-166,43
Caquetá,-76,-203
Casanare,44,68
Cauca,-242,-136
Cesar,-81,298
Chocó,-255,39
Córdoba,-212,207
Cundinamarca,-100,19
Guainía,208,-62
Guaviare,33,-135
Huila,-164,-106
La Guajira,-41,393
Magdalena,-138,327
Meta,-22,-50
Nariño,-299,-196
Norte de Santander,-39,212
Putumayo,-188,-233
Quindío,-182,-11
Risaralda,-208,29
Santander,-65,139
Sucre,-164,239
Tolima,-154,-37
Valle del Cauca,-235,-63
Vaupés,127,-187
Vichada,182,49
